nome,nota
Thiago Lopes,59.8
Sabrina Ferreira,90.0
Tomas Almeida,90.9
Fernanda Carvalho,88.0
Olivia Fernandes,79.7
Davi Nascimento,57.6
Eduardo Costa,64.2
Arthur Andrade,85.9
Ana Costa,53.5
Thiago Gomes,68.5
Valentina Freitas,85.5
Yasmin Lopes,81.4
Enzo Ferreira,84.4
Mateus Cardoso,60.0
Henrique Ramos,92.0
Lucas Marques,77.8
Olivia Lima,60.0
Juliana Andrade,76.0
Tomas Fernandes,92.7
Enzo Silva,83.8
Olivia Dias,64.4
Olivia Martins,88.0
Rodrigo Alves,56.4
Valentina Soares,57.6
Natalia Ribeiro,79.4
Thiago Ramos,53.5
Joao Vieira,94.9
Natalia Lopes,75.0
Rodrigo Costa,97.4
Helena Andrade,82.2
Yasmin Nunes,68.5
Valentina Rocha,92.7
Eduardo Oliveira,78.6
Pedro Lima,78.0
Pedro Oliveira,88.0
Fernanda Almeida,60.0
Sabrina Cardoso,60.0
Enzo Fernandes,82.2
Olivia Ramos,90.0
Paula Mendes,89.2
Pedro Santos,78.0
Fernanda Souza,95.5
Daniel Almeida,92.2
Thiago Freitas,85.5
Helena Fernandes,61.5
Valentina Rodrigues,55.8
Davi Almeida,78.0
Enzo Moreira,50.4
Nicolas Martins,64.4
Otavio Soares,55.1
Olivia Rocha,62.7
Daniel Costa,83.8
Gabriel Lopes,96.1
Rodrigo Vieira,92.0
Davi Mendes,72.0
Bernardo Rodrigues,97.8
Henrique Marques,75.0
Giovanna Martins,53.8
Eduardo Lima,53.8
Pedro Rodrigues,77.8
Rodrigo Almeida,62.7
Igor Ramos,92.3
Igor Machado,79.4
Olivia Nunes,81.8
Joao Souza,64.2
Yasmin Martins,55.5
Helena Lopes,75.0
Rodrigo Soares,95.5
Helena Gomes,64.4
Bernardo Pereira,85.5
Fernanda Lopes,94.8
Rafaela Cardoso,61.5
Ana Rodrigues,70.1
Ana Soares,96.5
Igor Lopes,82.4
Igor Cardoso,78.5
Henrique Nascimento,68.5
Carlos Freitas,81.4
Sabrina Martins,75.1
Bernardo Santos,88.0
Otavio Mendes,64.4
Rodrigo Martins,78.0
Tomas Nunes,74.1
Alice Souza,68.5
Gabriel Alves,75.0
Camila Nascimento,61.3
Thiago Rodrigues,94.9
Rodrigo Silva,78.0
Lucas Silva,55.8
Carlos Santos,57.6
Eduardo Mendes,69.0
Daniel Lopes,52.7
Alice Nunes,76.6
Gabriel Souza,69.0
Pedro Vieira,68.5
Paula Lopes,86.1
Henrique Dias,85.5
Gabriel Moreira,58.9
Helena Santos,78.6
Gabriel Ferreira,60.2
Tomas Machado,67.7
Daniel Silva,85.5
Felipe Freitas,75.1
Lucas Machado,95.5
Natalia Alves,55.1
Paula Marques,65.2
Enzo Alves,55.5
Fernanda Ramos,60.2
Davi Costa,95.1
Enzo Soares,78.0
Mariana Fernandes,92.0
Joao Lopes,57.4
Paula Pereira,79.7
Mateus Santos,53.5
Lucas Freitas,78.0
Juliana Soares,95.5
Sofia Machado,97.9
Felipe Dias,61.8
Vinicius Machado,88.0
Pedro Mendes,95.1
